Cell_Type	TF/DNase/HM	Treatment	DeepSEA_auROC	DanQ_auROC	DanQ-JASPAR_auROC	ChromDL_auROC	DeepSEA_auPRC	DanQ_auPRC	DanQ-JASPAR_auPRC	ChromDL_auPRC
8988T	DNase	None	0.910351436	0.9132489837	0.9149074326	0.9148589092943068	0.4011462495	0.4184384446	0.423433222	0.4313567725032597
AoSMC	DNase	None	0.924485649	0.9277664657	0.9313556897	0.9369104170957601	0.4396006789	0.4571908589	0.4692227377	0.48529634626748686
Chorion	DNase	None	0.896293207	0.9002669789	0.9008547544	0.9028636483767214	0.3207430835	0.3384839394	0.3367010903	0.3424713407391813
CLL	DNase	None	0.928261659	0.9303348552	0.9328266735	0.9339481102515964	0.3591878664	0.3703775688	0.377666063	0.38324007467428944
Fibrobl	DNase	None	0.837919632	0.8407263803	0.8431350521	0.8444018747142452	0.3407087383	0.3526279102	0.3572207165	0.36221842594041576
FibroP	DNase	None	0.883256473	0.8872928853	0.8904381711	0.895018976684244	0.4207757536	0.435208343	0.4432716665	0.4574972737194027
Gliobla	DNase	None	0.912435909	0.9166245036	0.9191443022	0.9218731227586738	0.4430148522	0.4603111126	0.4673757908	0.477346948266783
GM12891	DNase	None	0.929741168	0.9335075661	0.9360848499	0.9368772358296579	0.4205901591	0.4420742447	0.4496632368	0.45436470358006936
GM12892	DNase	None	0.924307003	0.9272498358	0.929858606	0.9303679463675896	0.3934597488	0.4125479171	0.4181989943	0.42254450749388955
GM18507	DNase	None	0.927615841	0.9311229067	0.935974931	0.9384525867264784	0.4168048465	0.4391884565	0.4462546367	0.45892102178201166
GM19238	DNase	None	0.918760062	0.922044407	0.9266793813	0.92806098362891	0.4101522523	0.4301530102	0.4382216649	0.4475937256229522
GM19239	DNase	None	0.926360134	0.9294662256	0.9331195436	0.9350042899869795	0.4099622592	0.4274209135	0.4351235014	0.4447993588642584
GM19240	DNase	None	0.89967126	0.9027631929	0.9063470529	0.9080385130059938	0.3873713707	0.4020892388	0.4093786312	0.4186728711420893
H9ES	DNase	None	0.939249589	0.9457047554	0.9489597902	0.9525223334302746	0.4914499596	0.5212930441	0.5316261705	0.5452393517873924
HeLa-S3	DNase	IFNa4h	0.906091046	0.913567888	0.915116739	0.9226564893652706	0.3954965404	0.4161457523	0.422862266	0.4372109589761826
Hepatocytes	DNase	None	0.881975064	0.8856014479	0.8869534689	0.8848254781671328	0.285556575	0.3026511231	0.3029602655	0.30080398767220123
HPDE6-E6E7	DNase	None	0.928321024	0.9367766145	0.9394902337	0.9445409419406057	0.4249672333	0.4521506013	0.4630783669	0.4773713027983756
HSMM_emb	DNase	None	0.932890161	0.9370780078	0.9399435792	0.9421190751940881	0.4442754512	0.4616422085	0.4713937018	0.47477513779642466
HTR8svn	DNase	None	0.924769549	0.929474889	0.9321130699	0.9374245670792036	0.4173693055	0.4366931565	0.444213378	0.4596668067349795
Huh-7.5	DNase	None	0.901924575	0.9077060399	0.9125108613	0.9135572919297319	0.3973713965	0.4176665004	0.4255680615	0.4320323579298907
Huh-7	DNase	None	0.917159302	0.9225321536	0.9273083034	0.9291140927110011	0.4167407558	0.4414127698	0.4493165729	0.4587303370934465
iPS	DNase	None	0.944668102	0.9486102376	0.9505350894	0.9517202490642964	0.5074322867	0.5310202761	0.5377191426	0.5419402980508314
Ishikawa	DNase	Estradiol_100nM_1hr	0.906442429	0.9157243973	0.9210888547	0.9340341191163527	0.4169561361	0.4480376419	0.4561170362	0.4812118659436686
Ishikawa	DNase	4OHTAM_20nM_72hr	0.908234784	0.916222401	0.9215287972	0.9332722199415079	0.4229101282	0.4495969719	0.4601356127	0.4832840361346609
LNCaP	DNase	androgen	0.917926355	0.9272455128	0.9294352403	0.9337096219325813	0.4195467664	0.4511531281	0.4547390149	0.46958547795201355
MCF-7	DNase	Hypoxia_LacAcid	0.902486893	0.9121498816	0.9141306724	0.9161949997466384	0.4006126381	0.4281946272	0.4321633308	0.44471831423087027
Medullo	DNase	None	0.864042242	0.8664238813	0.8692186275	0.8699736929735817	0.3158031211	0.3271526972	0.3335229698	0.33525452625873253
Melano	DNase	None	0.847363066	0.8506737609	0.8531173679	0.8553492206156992	0.3536066271	0.3662819206	0.3742151035	0.3793408476701905
Myometr	DNase	None	0.916022356	0.921329115	0.9236917038	0.9263032902202399	0.4186415799	0.4397429048	0.4490826789	0.4595957771422898
Osteobl	DNase	None	0.849303246	0.8538104396	0.8558780011	0.8567391993781942	0.3503940085	0.363640452	0.367974622	0.3739860416846195
PanIsletD	DNase	None	0.914119582	0.9188202336	0.922129327	0.9258201765598137	0.4575887112	0.4790670974	0.4876371989	0.4994829650756557
PanIslets	DNase	None	0.89216587	0.8965995005	0.8972274346	0.896393073797106	0.3707545946	0.3899416943	0.3931002212	0.3923274706392985
pHTE	DNase	None	0.89254097	0.9001301656	0.9012358993	0.905150430021236	0.4235885927	0.4500610376	0.4532105877	0.468318416803633
ProgFib	DNase	None	0.91525081	0.9190633289	0.9221193695	0.9258748983686125	0.440569619	0.4625540711	0.4698115384	0.4861531230870403
RWPE1	DNase	None	0.927696294	0.9366268878	0.9381576103	0.9435887967434954	0.4744217367	0.5071240841	0.5153730228	0.5370882446585259
Stellate	DNase	None	0.925775814	0.9311993312	0.9347415486	0.9383756358418329	0.4495610606	0.4722418729	0.4797688522	0.49056573967453276
T-47D	DNase	None	0.88951898	0.8981698685	0.8994533016	0.9064224091529831	0.3706824833	0.3960861184	0.3984722394	0.4094619013544941
Adult_CD4_Th0	DNase	None	0.884814335	0.8886718065	0.8898270926	0.8886288553026926	0.3711642078	0.3824629918	0.3874213075	0.38886496210818083
Urothelia	DNase	None	0.921872672	0.9283363179	0.9301246297	0.9339465712778539	0.4499384108	0.4732297245	0.4825141958	0.49652170984183525
Urothelia	DNase	UT189	0.905203186	0.9109602229	0.9120269184	0.9153350931986212	0.421861015	0.4431106386	0.4505962781	0.464304621524974
AG04449	DNase	None	0.930299369	0.9350575847	0.9393851624	0.9466674443553365	0.4583251466	0.4756664838	0.492027007	0.5220162652043463
AG04450	DNase	None	0.930558584	0.9343978016	0.9389876455	0.946136667644027	0.4540676292	0.4672055145	0.4854169388	0.5095546400733094
AG09309	DNase	None	0.929469519	0.9339830894	0.9387336198	0.9470972730697755	0.4960453125	0.5116177462	0.5265479393	0.5577547078164773
AG09319	DNase	None	0.927775855	0.9315941594	0.9370959924	0.9455306578056251	0.4356784676	0.4507821181	0.4680074365	0.4977542483538976
AG10803	DNase	None	0.935139243	0.938648384	0.9428115943	0.9504732495467672	0.4907650482	0.5054729082	0.5216078913	0.5528280977371172
AoAF	DNase	None	0.928060187	0.9314802829	0.9361771632	0.942997525161607	0.4824022784	0.4956891792	0.5112193412	0.5356284599997122
BE2_C	DNase	None	0.913226233	0.9233588542	0.9291232266	0.9338241984706991	0.455811947	0.4876840595	0.5033008295	0.518179843939529
BJ	DNase	None	0.926037247	0.929964594	0.9359857811	0.945590823613609	0.439970125	0.458422685	0.4769759602	0.5133337641502486
Caco-2	DNase	None	0.955102255	0.9602247859	0.9614734632	0.9642891165720914	0.4413681283	0.4660432973	0.4649057247	0.4722689449352309
CD20+	DNase	None	0.91735557	0.9212656413	0.925173799	0.9272721922720532	0.393695248	0.4086928574	0.4128750032	0.4211089216534589
CD34+_Mobilized	DNase	None	0.925500268	0.9316137548	0.9342954137	0.9409303922022679	0.4920058292	0.5126274191	0.5220194418	0.5437638753110638
CMK	DNase	None	0.92867733	0.9327263993	0.9340527474	0.937533528433287	0.4316323641	0.4519660267	0.4562120553	0.4598191937002997
A549	DNase	None	0.889120095	0.8961514737	0.899674066	0.9046729060846039	0.4454897334	0.4648586052	0.4722856292	0.48550710090488586
GM12878	DNase	None	0.895268982	0.9000923412	0.9039893704	0.9084570577879125	0.4033559786	0.4227049343	0.4286787119	0.441209007590861
H1-hESC	DNase	None	0.922875567	0.9281680371	0.9320845004	0.9350441117593947	0.49779014	0.522322672	0.5337150402	0.5461573615602706
HeLa-S3	DNase	None	0.881399822	0.8896062784	0.8926147994	0.9008743757678772	0.4132262523	0.433169412	0.4406241283	0.46003462706447407
HepG2	DNase	None	0.919644463	0.9243361892	0.9314232083	0.9351339064630031	0.4674154118	0.4849693976	0.5039334552	0.5168082520100389
HMEC	DNase	None	0.879333841	0.8866699505	0.8892930027	0.8926185767360593	0.4488188025	0.468345512	0.4755812218	0.4882697481547199
HSMMtube	DNase	None	0.911713274	0.915105104	0.9214445217	0.9271525159359655	0.5157930332	0.5322298192	0.5474761751	0.5667666820446378
HSMM	DNase	None	0.907026954	0.9118813054	0.9185637856	0.9252391100551285	0.4915252226	0.5070323764	0.5244834265	0.5460934470274768
HUVEC	DNase	None	0.905654384	0.9102513401	0.9138200111	0.9186549896948246	0.4433583007	0.4583933504	0.4645925495	0.4781226995613762
K562	DNase	None	0.903535042	0.9094502121	0.9121631887	0.9162930989040453	0.431172313	0.4487945406	0.4592981093	0.4684712855770843
LNCaP	DNase	None	0.875751559	0.8880409689	0.8917063906	0.9034253657411978	0.415626869	0.4473678731	0.4566447054	0.4830472288107457
MCF-7	DNase	None	0.887666733	0.9002668401	0.9030551944	0.9173679135175101	0.4126652422	0.4463330385	0.4527049928	0.4907406699624917
NHEK	DNase	None	0.914142019	0.9228574199	0.9246491934	0.9287038926424935	0.4670529474	0.4959797082	0.5046528292	0.5227895841240391
Th1	DNase	None	0.865216236	0.8684588339	0.8701070274	0.868679918680129	0.3582683957	0.3696926502	0.3746784214	0.3745736851229323
GM06990	DNase	None	0.902955171	0.9063258167	0.9130242555	0.918584077085819	0.3256947324	0.3396407621	0.3519833383	0.36437834608826836
GM12864	DNase	None	0.917940255	0.9204243729	0.925095715	0.9303583798894968	0.4163407243	0.4328024277	0.4457865784	0.46486344405533664
GM12865	DNase	None	0.926324849	0.9289599657	0.9346960437	0.9402542758310408	0.456179407	0.4756097643	0.4900643586	0.5161905398108614
H7-hESC	DNase	None	0.915536905	0.9226643211	0.9298228787	0.938182859230574	0.4913154111	0.5167030823	0.539376137	0.5686212151529583
HAc	DNase	None	0.928486887	0.9328079654	0.937698484	0.9457987039344514	0.4887791631	0.5049861395	0.520887621	0.5540295479289502
HAEpiC	DNase	None	0.92657588	0.9297668317	0.9343231185	0.9399397075012008	0.4905119947	0.5048021808	0.5214322986	0.541160946664511
HA-h	DNase	None	0.918749237	0.923991881	0.9276141384	0.9341246877635625	0.4878496534	0.5082129798	0.5199890343	0.5473218185304768
HA-sp	DNase	None	0.867568074	0.8749524879	0.87873071	0.8847485473083359	0.310400002	0.3207391676	0.3324358266	0.33951646569935817
HBMEC	DNase	None	0.927589775	0.9319868845	0.9361333839	0.9419935125024954	0.5142650844	0.5323390988	0.5480556138	0.5712156187268471
HCFaa	DNase	None	0.925915241	0.9315122479	0.9350841462	0.9414939169101832	0.4932965929	0.5148917186	0.5295825548	0.55203963401586
HCF	DNase	None	0.931345077	0.9349616255	0.9390792427	0.9448808859508288	0.4957761091	0.5092710462	0.5242311127	0.5478889712876701
HCM	DNase	None	0.932838333	0.9371356069	0.9407061808	0.9465665629221816	0.5206724507	0.5355906307	0.5521894095	0.575746586344726
HConF	DNase	None	0.929426226	0.9347068355	0.9386057562	0.9466094414280182	0.4828977852	0.499734756	0.5179472602	0.545572083027461
HCPEpiC	DNase	None	0.920136522	0.9258459751	0.9308340563	0.9388672585211837	0.4972246728	0.5178157325	0.5343484289	0.5586700416225049
HCT-116	DNase	None	0.925107353	0.9335899209	0.9352705424	0.9409846737055492	0.487741387	0.5088164919	0.5171661911	0.5362019918950003
HEEpiC	DNase	None	0.934086436	0.9447754627	0.9471256268	0.9549421281987754	0.5501446974	0.5846392344	0.595482106	0.6289831328537595
HFF-Myc	DNase	None	0.914313099	0.9201956879	0.9257894184	0.9347649453141263	0.4831847449	0.4994266911	0.5130078877	0.5409334853490829
HFF	DNase	None	0.925130896	0.9301621514	0.9352004256	0.9430344453743869	0.5030328507	0.5197016636	0.5391553887	0.5647182366377381
HGF	DNase	None	0.927895498	0.9317619876	0.936724628	0.9452082734504575	0.4366165545	0.4492686027	0.4684700227	0.4990240231306597
HIPEpiC	DNase	None	0.92460714	0.9294246964	0.9336957742	0.9410454193822283	0.5103219527	0.5271666087	0.5424149988	0.5704157851558419
HL-60	DNase	None	0.909168997	0.9129485029	0.9149887045	0.9162163278075015	0.4204746647	0.4340526371	0.444017	0.4520320819380789
HMF	DNase	None	0.936543989	0.9413448289	0.9447513372	0.9511798438693976	0.5293976253	0.5450244821	0.5621798547	0.5860123723163649
HMVEC-dAd	DNase	None	0.927300707	0.9326737666	0.9364159708	0.9425976969812203	0.4480505862	0.4614154772	0.4754370943	0.4939150064387622
HMVEC-dBl-Ad	DNase	None	0.933941611	0.9388509626	0.9427583102	0.9490843997121805	0.4885619396	0.5059151728	0.5233092458	0.5459588900384336
HMVEC-dBl-Neo	DNase	None	0.92490559	0.930562772	0.9342505211	0.9412018523753354	0.4836133664	0.5032293685	0.5173286035	0.5369918120415533
HMVEC-dLy-Ad	DNase	None	0.927537478	0.9313629013	0.9358374506	0.9426260422620196	0.4488086578	0.4643380577	0.4813700162	0.5019722343335498
HMVEC-dLy-Neo	DNase	None	0.93083652	0.9355593715	0.9400747401	0.9463854086848562	0.4793732777	0.4969346814	0.5135492384	0.533348097689348
HMVEC-dNeo	DNase	None	0.930036611	0.9349825097	0.9390997339	0.9457922499485482	0.4778648021	0.4937562051	0.5091008277	0.531563665510985
HMVEC-LBl	DNase	None	0.93031706	0.9356419811	0.9383228914	0.9445398705250034	0.4961519713	0.5136469147	0.5263801319	0.5444238261968759
HMVEC-LLy	DNase	None	0.923662478	0.9284201666	0.9330602336	0.9398464448769854	0.4641897075	0.4803925778	0.4958082413	0.5193435781577218
HNPCEpiC	DNase	None	0.929924195	0.9342630449	0.9396141153	0.9467064100845941	0.5292206744	0.5480304384	0.5674828897	0.5937774745291599
HPAEC	DNase	None	0.924899556	0.9302754947	0.9338997532	0.9397495826347677	0.4289231452	0.4472183442	0.4606646028	0.47876844959803894
HPAF	DNase	None	0.933486188	0.9384555517	0.9427790433	0.948045341867774	0.5276439725	0.5444155256	0.5607777614	0.5818048734621655
HPdLF	DNase	None	0.926365566	0.9305285366	0.9357574552	0.9424935748712487	0.4581185228	0.4725961683	0.4910629306	0.514060201350836
HPF	DNase	None	0.930353804	0.9351310773	0.9395551385	0.945194620036878	0.4796925815	0.4969767055	0.5131667785	0.5304616438056096
HRCEpiC	DNase	None	0.921345216	0.9258521846	0.9347292298	0.9430063406584333	0.4844251551	0.4974395493	0.5234900933	0.5517203209492079
HRE	DNase	None	0.923646859	0.9279231557	0.9359002811	0.9449618961380264	0.4947552607	0.510238699	0.5329212091	0.5638297557631002
HRGEC	DNase	None	0.910142935	0.9163424501	0.9202733858	0.9271927466537508	0.4215882342	0.4378245406	0.4501165236	0.46416315889193505
HRPEpiC	DNase	None	0.913599259	0.9191300815	0.9259336552	0.9326682413085109	0.4595513309	0.4777519566	0.4975173177	0.522112308695886
HVMF	DNase	None	0.911136725	0.9152762634	0.9208684464	0.9272344102281892	0.4235343521	0.4341820379	0.4478887107	0.4650205742517647
Jurkat	DNase	None	0.921549587	0.9283945269	0.9311599247	0.9368891084555271	0.461961112	0.4887497806	0.4982806544	0.5125661220634331
Monocytes-CD14+_RO01746	DNase	None	0.936719544	0.9405712337	0.9425921619	0.9470089726729902	0.4594719928	0.4780806109	0.4841864583	0.5059254670722864
NB4	DNase	None	0.931088121	0.9378184205	0.9395500089	0.9439536181611494	0.4631584639	0.4886611319	0.4944234808	0.5145886759858108
NH-A	DNase	None	0.931549681	0.9348478871	0.9395750535	0.9463837303028806	0.4957210469	0.5082580396	0.5261228274	0.5561290092635117
NHDF-Ad	DNase	None	0.930726524	0.9333396336	0.9384071134	0.9460028081501624	0.5076571241	0.5215163136	0.5370777152	0.5700803467987106
NHDF-neo	DNase	None	0.925687729	0.9281434031	0.9344093798	0.9433083238018193	0.457985012	0.4691006908	0.4898151202	0.5238561524858736
NHLF	DNase	None	0.933492515	0.9373677367	0.9420685281	0.9483519798411029	0.5139133149	0.5301836588	0.5456361721	0.5713370387295926
NT2-D1	DNase	None	0.927061464	0.9339567984	0.9397247773	0.9471608002536144	0.5022316402	0.5325424028	0.5533926266	0.5787456606277015
PANC-1	DNase	None	0.908114925	0.9153481036	0.9171018891	0.9207333314607307	0.4218148461	0.4434547415	0.4485798872	0.458686762881326
PrEC	DNase	None	0.931840242	0.9408544089	0.94374225	0.9505838276830572	0.4914536124	0.5207733928	0.535066249	0.5671029781704868
RPTEC	DNase	None	0.911536646	0.9164168856	0.927368447	0.9342948103213036	0.4438849592	0.4597563704	0.4854696645	0.5085157990806556
SAEC	DNase	None	0.934864808	0.9448763647	0.9468589411	0.9540197706846489	0.5429736301	0.5760448487	0.5860964239	0.6192950647602801
SKMC	DNase	None	0.926250298	0.9315395097	0.9363406935	0.9436807706396055	0.4925326202	0.5092616817	0.5283401824	0.5553350423955911
SK-N-MC	DNase	None	0.883021602	0.8942838579	0.8990426737	0.9083545265069609	0.3707378565	0.4057456535	0.4140711031	0.43645133254968516
SK-N-SH_RA	DNase	None	0.939063718	0.9438625773	0.9498986815	0.9531826013298708	0.3975102061	0.4261801756	0.4398179731	0.4494087047818292
Th2	DNase	None	0.905005703	0.9103992578	0.9111198867	0.9155630099353237	0.3293858306	0.3493359431	0.3472368336	0.35359370973013915
WERI-Rb-1	DNase	None	0.913575694	0.9173347257	0.929592394	0.9380934806969101	0.4278899283	0.4436865497	0.4726208774	0.49373069189481467
WI-38	DNase	4OHTAM_20nM_72hr	0.913134552	0.9156277795	0.9198931321	0.9265847463695793	0.4479663626	0.4589895682	0.4698625771	0.4880247979034926
WI-38	DNase	None	0.927649399	0.9326504992	0.9370454314	0.9429035476378673	0.4625436502	0.4808466387	0.4957341832	0.5140676428217705
Dnd41	CTCF	None	0.979197733	0.9828194319	0.9834972491	0.9854857043513975	0.6948477135	0.7280444211	0.7339549699	0.747836062151366
Dnd41	EZH2	None	0.944861415	0.9505153199	0.9464026022	0.9524921153556244	0.0503574567	0.0529569318	0.0513925619	0.06397415039309552
GM12878	CTCF	None	0.97843466	0.9819842813	0.9836703868	0.9858160859088433	0.6662684482	0.7017412278	0.7176266638	0.7344854695906063
GM12878	EZH2	None	0.919441436	0.9336589275	0.9369153097	0.9329571166551717	0.0468882058	0.0549747153	0.0515252256	0.0578807908094676
H1-hESC	CHD1	None	0.947187055	0.9522565082	0.953835472	0.9523826308659512	0.1904373325	0.1997666885	0.2043302274	0.18309065223280044
H1-hESC	CTCF	None	0.977368797	0.9819703963	0.984390157	0.9868981956521695	0.6404027745	0.6851148825	0.7013977526	0.7247454373913987
H1-hESC	EZH2	None	0.981665445	0.9843253966	0.9844030627	0.983305546588861	0.3950924116	0.4474857081	0.4580646428	0.41652349382669424
H1-hESC	JARID1A	None	0.987164153	0.9836496353	0.9846192343	0.9879945945572306	0.1855753223	0.2526011211	0.2236398947	0.2554318941522929
H1-hESC	RBBP5	None	0.965011761	0.9689929034	0.9704391507	0.9746518648642558	0.4277618879	0.4430519054	0.4380077694	0.4323121774784532
HeLa-S3	CTCF	None	0.964978887	0.9710963274	0.9741564603	0.9775098954951729	0.6521248673	0.6899951195	0.7035668817	0.7178261329190473
HeLa-S3	EZH2	None	0.810107062	0.8440234994	0.8378299628	0.8487055123781038	0.0186784028	0.0293885198	0.0257197131	0.030670523198715254
HeLa-S3	Pol2(b)	None	0.890695267	0.9010516315	0.8982336244	0.9064675101959603	0.1087885301	0.1126559393	0.1182552848	0.11369356656200584
HepG2	CTCF	None	0.983452523	0.9865309766	0.9882154081	0.9901318436679255	0.6686938211	0.7079747423	0.7233479384	0.7412080532278033
HepG2	EZH2	None	0.951716913	0.9567290054	0.9558964504	0.9496462708834834	0.0610399615	0.0651476924	0.0725180439	0.06984846515819802
HMEC	CTCF	None	0.984604211	0.9875578452	0.9888527417	0.9904657792620439	0.6616691456	0.6979001129	0.7117904391	0.7342333479451865
HMEC	EZH2	None	0.959317412	0.9639922181	0.9647001676	0.9635786358571717	0.2023753289	0.2177503769	0.2311077292	0.18411526602911032
HSMM	CTCF	None	0.97622668	0.98088099	0.9830018163	0.9857100300172472	0.62784861	0.6644898536	0.6760445272	0.693626129632685
HSMM	EZH2	None	0.961192582	0.9694547711	0.9665768862	0.9669545922514269	0.106623225	0.1144819085	0.1239809255	0.10944431049775372
HSMMtube	CTCF	None	0.972644397	0.9779363134	0.9807862107	0.9833517311439418	0.6377985839	0.6742370664	0.6878329335	0.7044056950374756
HSMMtube	EZH2	None	0.984216728	0.9854362178	0.984964653	0.9870425995353692	0.1644615775	0.1947132578	0.1987579507	0.18127547706315514
HUVEC	CTCF	None	0.982231848	0.9847767197	0.9866238512	0.9881875154031232	0.6652413535	0.6970859984	0.7086061324	0.7247133920576856
HUVEC	EZH2	None	0.985643204	0.9871545436	0.9870954606	0.9857238423582446	0.3573330741	0.4004923819	0.4098367673	0.37618654147283737
HUVEC	Pol2(b)	None	0.923989395	0.931500822	0.9239079205	0.9361311870210691	0.1687234423	0.1810987098	0.18334311	0.1889714159244555
K562	CHD1	None	0.954814543	0.9589930511	0.9594348937	0.9572047295655371	0.2158266721	0.2292443166	0.225249131	0.21515131071915677
K562	CTCF	None	0.970549293	0.9758263405	0.9778692369	0.9807752200435188	0.6238341427	0.6608491882	0.6744054116	0.6915296029879568
K562	EZH2	None	0.887793906	0.9233489985	0.9226019077	0.9121124820305845	0.0344581093	0.0521139377	0.020309774	0.035775217375209334
K562	HDAC1	None	0.965512702	0.9677822315	0.9669353428	0.9679534564356593	0.3204846573	0.3432210499	0.3507928258	0.33588924482291477
K562	HDAC2	None	0.952215035	0.9542979809	0.9572958376	0.9655231263314273	0.1036084987	0.1158599558	0.1273267735	0.13287286687646532
K562	HDAC6	None	0.980055802	0.9821017836	0.9793290012	0.977895743496834	0.0148905445	0.0535166661	0.0251497757	0.04732936280276453
K562	p300	None	0.905436095	0.9141952885	0.9256002824	0.9216000108825311	0.0952271705	0.1862205502	0.1640130414	0.2158947837840122
K562	PHF8	None	0.98363375	0.9860795594	0.985607495	0.9859922000129824	0.6930461418	0.7236060015	0.720118456	0.7096649348268498
K562	PLU1	None	0.964963856	0.9693179544	0.9666295432	0.9675486986125456	0.4451475662	0.4783755687	0.4724317677	0.4606310373206588
K562	Pol2(b)	None	0.945730788	0.9521967827	0.9527718891	0.9537589095081926	0.2919024114	0.3261037125	0.3356876152	0.32202979647622076
