auROC and auPRC performance metrics for the two-step ChromDL and TREDNet second-phase enhancer classifier across the eight enhancer definitions for 53 cell lines, where data is available

	Enhancer Definition	ChromHMM S.E.S.		ChromHMM W.E.S.		H3K27ac		H3K4me1		H3K27ac + H3K4me1		H3K27ac + H3K4me1 - H3K4me3		EP300 conservative		EP300 optimal	
Cell line #	Description	auROC	auPRC	auROC	auPRC	auROC	auPRC	auROC	auPRC	auROC	auPRC	auROC	auPRC	auROC	auPRC	auROC	auPRC
E003	H1-hESC	0.902409566	0.369305616	0.93079972	0.513651455	0.917512035	0.476684443	0.939822006	0.651503158	0.920338937	0.404192574	0.898881731	0.328629716	0.968180445	0.188667775	0.962741211	0.248859781
E004	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	0.856175743	0.339961178	0.883327788	0.28645207	0.84975566	0.393358228	0.893250228	0.40332223	0.866532508	0.262677168	0.875125384	0.253475444				
E005	H1_BMP4_Derived_Trophoblast_Cultured_Cells	0.865662094	0.378121041	0.909767289	0.432028223	0.877059402	0.438802651	0.909342014	0.574794789	0.901387271	0.402932624	0.884828248	0.365827671				
E006	H1_Derived_Mesenchymal_Stem_Cells	0.87877254	0.441085712	0.918900449	0.464523233	0.894963985	0.501213932	0.930665711	0.64054903	0.914865622	0.449082485	0.909586788	0.413976918				
E007	H1_Derived_Neuronal_Progenitor_Cultured_Cells	0.85308407	0.219336649	0.890219413	0.437197752	0.882333083	0.306054028	0.915678576	0.552854706	0.882413926	0.247146121	0.899711034	0.246899691				
E008	H9_Cell_Line	0.855208072	0.239603619	0.90199082	0.371632505	0.890847259	0.33262054	0.90820857	0.429500322	0.882165285	0.200362972	0.870426296	0.158845268				
E017	IMR90_Cell_Line	0.892634117	0.48121003	0.918774272	0.499451279	0.913468111	0.574772612	0.919291637	0.669009769	0.910977869	0.521780552	0.899378352	0.453204873				
E021	iPS_DF_6.9_Cell_Line	0.826749597	0.18027846	0.889988905	0.469287453	0.860292958	0.249328344	0.918462489	0.557049133	0.892672087	0.190833387	0.870135259	0.138709911				
E022	iPS_DF_19.11_Cell_Line	0.855600367	0.297188738	0.914145857	0.502389357	0.907812968	0.453406492	0.949942338	0.700701052	0.943809779	0.414822593	0.929679646	0.304143927				
E028	Breast_vHMEC							0.935237333	0.702958412								
E029	CD14_Primary_Cells	0.919578745	0.405072758	0.920739597	0.495552339	0.92442938	0.47961986	0.927425244	0.636052509	0.921241851	0.460053103	0.905951346	0.366494436				
E032	CD19_Primary_Cells_Peripheral_	0.803260968	0.203948165	0.829415041	0.329651792	0.818922303	0.301672892	0.853745409	0.514771801	0.814754354	0.281212906	0.769157754	0.121771055				
E033	CD3_Primary_Cells_Cord_BI							0.859554123	0.363191499								
E034	CD3_Primary_Cells_Peripheral_	0.757393221	0.178862963	0.810268284	0.226723849	0.791452236	0.280860528	0.843157694	0.483686203	0.814871509	0.264410304	0.782421931	0.152141856				
E046	CD56_Primary_Cells	0.818037353	0.241385645	0.870733938	0.371014852	0.851196344	0.349609824	0.890720192	0.537704422	0.865308087	0.316749991	0.839003477	0.209206411				
E050	Mobilized_CD34_Primary_Cells_Female	0.839146015	0.214327917	0.885082145	0.467544197	0.88108543	0.395772586	0.5	0.094113893	0.880410122	0.379384901	0.834414805	0.15553975				
E051	Mobilized_CD34_Primary_Cells_Male							0.907403264	0.637815007								
E055	Penis_Foreskin_Fibroblast_Primary_Cells_skin01	0.855783355	0.364894531	0.891416717	0.52322271	0.887623564	0.532051709	0.901058739	0.684158235	0.888178682	0.499450952	0.859063838	0.294212469				
E056	Penis_Foreskin_Fibroblast_Primary_Cells_skin02	0.87045791	0.369568411	0.910856013	0.492477921	0.89014572	0.51206674	0.930546463	0.692649903	0.915993745	0.502886121	0.877458164	0.280698988				
E057	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02							0.931702238	0.658651331								
E059	Penis_Foreskin_Melanocyte_Primary_Cells_skin01	0.772101862	0.169315244	0.834487755	0.307042369	0.863813778	0.304194081	0.855844239	0.384969518	0.87322444	0.234751368	0.83616455	0.138083497				
E080	Fetal_Adrenal_Gland	0.819698273	0.359182701	0.848778623	0.327360425	0.831721961	0.451363815	0.862095182	0.586920917	0.847121286	0.428826205	0.821825645	0.361144949				
E081	Fetal_Brain_Male							0.843559777	0.513562538								
E082	Fetal_Brain_Female							0.860149627	0.487164752								
E083	Fetal_Heart							0.789369338	0.490826845								
E084	Fetal_Intestine_Large	0.820878757	0.31639498	0.856314061	0.262632613	0.850281539	0.430833371	0.847616667	0.491118001	0.84059268	0.365158329	0.836279629	0.309335902				
E085	Fetal_Intestine_Small	0.815413518	0.28766498	0.860896736	0.257578151	0.867716487	0.449789324	0.854674284	0.502870048	0.851108022	0.36992033	0.834977008	0.3098601				
E086	Fetal_Kidney							0.887737785	0.43202141								
E088	Fetal_Lung							0.814697482	0.548041586								
E089	Fetal_Muscle_Trunk	0.815206948	0.306191339	0.918694894	0.432221404	0.84499797	0.421237575	0.941622512	0.692984912	0.918287182	0.428784536	0.89282899	0.354371102				
E090	Fetal_Muscle_Leg	0.810228863	0.354708221	0.85983986	0.401874217	0.816992874	0.429138358	0.900243951	0.640088264	0.874126147	0.431291727	0.872806589	0.390881515				
E091	Fetal_Placenta	0.817929104	0.344496817	0.888892009	0.422637624	0.834148111	0.408229781	0.888705583	0.591759758	0.85521425	0.379832473	0.848907509	0.342281817				
E092	Fetal_Stomach	0.885271735	0.439933856	0.881253487	0.337291375	0.902485533	0.533391179	0.917629259	0.659965626	0.923083565	0.525263033	0.905800773	0.445305102				
E093	Fetal_Thymus	0.793043348	0.239947879	0.85108881	0.34525485	0.832047852	0.364967158	0.863292221	0.536142052	0.833810032	0.313254647	0.826558499	0.248028582				
E094	Gastric	0.892166932	0.361214186	0.931459373	0.380028558	0.921107974	0.480630384	0.931655212	0.517212007	0.933107241	0.350910349	0.895630677	0.256748538				
E097	Ovary	0.81794222	0.28923334	0.8205468	0.345711423	0.841240925	0.375062188	0.864708934	0.489355783	0.862397412	0.330935715	0.824393981	0.263564574				
E098	Pancreas	0.858048475	0.253454172	0.887465156	0.429674792	0.900857357	0.408238875	0.5	0.058336856	0.903112753	0.334204515	0.887917732	0.258073817				
E100	Psoas_Muscle	0.863658498	0.311662529	0.857807067	0.303536717	0.880682051	0.402630583	0.888130691	0.434082574	0.874297385	0.271161347	0.868779352	0.225947684				
E109	Small_Intestine	0.864736551	0.384161538	0.826218646	0.147538714	0.884054119	0.459546015	0.870110523	0.419126436	0.891355359	0.341565332	0.875442255	0.281903419				
E114	A549_EtOH_0.02pct_Lung_Carcinoma	0.811516189	0.262584899	0.887515629	0.399070592	0.82735126	0.454003192	0.857164035	0.574065943	0.828196437	0.419530892	0.780750528	0.107201402			0.942345202	0.409538874
E116	GM12878_Lymphoblastoid	0.708537254	0.081449446	0.868704858	0.342240013	0.827914346	0.31696527	0.856791879	0.440934429	0.836073243	0.275320392	0.730697669	0.087009204	0.952162547	0.315928849	0.943826065	0.304655486
E117	HeLa	0.853807572	0.35814802	0.872924732	0.439122519	0.874404736	0.461413571	0.884481366	0.580776926	0.878301739	0.450334808	0.832733756	0.204777824	0.962065754	0.405205048	0.957123012	0.434325865
E118	HepG2_Hepatocellular_Carcinoma	0.870941947	0.262195652	0.877671699	0.377892187	0.88386389	0.381011029	0.914803479	0.556927529	0.888974809	0.347107024	0.841198526	0.1805346	0.960889559	0.283868411	0.972765299	0.341684264
E119	HMEC_Mammary_Epithelial	0.890706666	0.472072495	0.915598159	0.531631653	0.897538625	0.519232876	0.921046503	0.662245192	0.910205034	0.515548542	0.906658674	0.456758697				
E120	HSMM_Skeletal_Muscle_Myoblasts	0.901920123	0.482933111	0.923377624	0.510356755	0.906691155	0.546990931	0.925781913	0.667409804	0.914671595	0.516007598	0.899192258	0.414640807				
E121	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	0.866041703	0.458396153	0.892618223	0.45215607	0.876214611	0.529399893	0.896091194	0.644557826	0.882084767	0.499084686	0.86074533	0.379611005				
E122	HUVEC_Umbilical_Vein_Endothelial_Cells	0.857637365	0.41116763	0.892660204	0.40578284	0.875982091	0.487427735	0.889946811	0.595070085	0.864773929	0.446288562	0.859387462	0.335787676				
E123	K562	0.78526672	0.177916069	0.829171	0.343854472	0.82922988	0.304931898	0.8267848	0.431579884	0.83360874	0.269126759	0.78789833	0.107474519	0.94685806	0.337277075	0.95221214	0.367225341
E124	Monocytes-CD14+_RO01746	0.856305237	0.272640854	0.878632094	0.323410262	0.881459043	0.469535495	0.904239004	0.618602504	0.8829054	0.462381109	0.838822494	0.165943471				
E125	NH_A_Astrocytes	0.914419621	0.53457501	0.933395536	0.545800493	0.922718948	0.608626331	0.937011124	0.732151028	0.918036263	0.585015802	0.903601652	0.431163084				
E126	NHDF_Ad_Adult_Dermal_Fibroblasts	0.893802713	0.44932663	0.910720979	0.546249061	0.901299216	0.500975345	0.906620344	0.629099448	0.913433755	0.472540618	0.903050815	0.393444528				
