DeepSEA_auROC,DanQ_auROC,DanQ-JASPAR_auROC,ChromDL_auROC,DeepSEA_auPRC,DanQ_auPRC,DanQ-JASPAR_auPRC,ChromDL_auPRC
0.910351436,0.913248984,0.914907433,0.914858909,0.40114625,0.418438445,0.423433222,0.431356773
0.924485649,0.927766466,0.93135569,0.936910417,0.439600679,0.457190859,0.469222738,0.485296346
0.896293207,0.900266979,0.900854754,0.902863648,0.320743084,0.338483939,0.33670109,0.342471341
0.928261659,0.930334855,0.932826674,0.93394811,0.359187866,0.370377569,0.377666063,0.383240075
0.837919632,0.84072638,0.843135052,0.844401875,0.340708738,0.35262791,0.357220717,0.362218426
0.883256473,0.887292885,0.890438171,0.895018977,0.420775754,0.435208343,0.443271667,0.457497274
0.912435909,0.916624504,0.919144302,0.921873123,0.443014852,0.460311113,0.467375791,0.477346948
0.929741168,0.933507566,0.93608485,0.936877236,0.420590159,0.442074245,0.449663237,0.454364704
0.924307003,0.927249836,0.929858606,0.930367946,0.393459749,0.412547917,0.418198994,0.422544507
0.927615841,0.931122907,0.935974931,0.938452587,0.416804847,0.439188457,0.446254637,0.458921022
0.918760062,0.922044407,0.926679381,0.928060984,0.410152252,0.43015301,0.438221665,0.447593726
0.926360134,0.929466226,0.933119544,0.93500429,0.409962259,0.427420914,0.435123501,0.444799359
0.89967126,0.902763193,0.906347053,0.908038513,0.387371371,0.402089239,0.409378631,0.418672871
0.939249589,0.945704755,0.94895979,0.952522333,0.49144996,0.521293044,0.531626171,0.545239352
0.906091046,0.913567888,0.915116739,0.922656489,0.39549654,0.416145752,0.422862266,0.437210959
0.881975064,0.885601448,0.886953469,0.884825478,0.285556575,0.302651123,0.302960266,0.300803988
0.928321024,0.936776615,0.939490234,0.944540942,0.424967233,0.452150601,0.463078367,0.477371303
0.932890161,0.937078008,0.939943579,0.942119075,0.444275451,0.461642209,0.471393702,0.474775138
0.924769549,0.929474889,0.93211307,0.937424567,0.417369306,0.436693157,0.444213378,0.459666807
0.901924575,0.90770604,0.912510861,0.913557292,0.397371397,0.4176665,0.425568062,0.432032358
0.917159302,0.922532154,0.927308303,0.929114093,0.416740756,0.44141277,0.449316573,0.458730337
0.944668102,0.948610238,0.950535089,0.951720249,0.507432287,0.531020276,0.537719143,0.541940298
0.906442429,0.915724397,0.921088855,0.934034119,0.416956136,0.448037642,0.456117036,0.481211866
0.908234784,0.916222401,0.921528797,0.93327222,0.422910128,0.449596972,0.460135613,0.483284036
0.917926355,0.927245513,0.92943524,0.933709622,0.419546766,0.451153128,0.454739015,0.469585478
0.902486893,0.912149882,0.914130672,0.916195,0.400612638,0.428194627,0.432163331,0.444718314
0.864042242,0.866423881,0.869218628,0.869973693,0.315803121,0.327152697,0.33352297,0.335254526
0.847363066,0.850673761,0.853117368,0.855349221,0.353606627,0.366281921,0.374215104,0.379340848
0.916022356,0.921329115,0.923691704,0.92630329,0.41864158,0.439742905,0.449082679,0.459595777
0.849303246,0.85381044,0.855878001,0.856739199,0.350394009,0.363640452,0.367974622,0.373986042
0.914119582,0.918820234,0.922129327,0.925820177,0.457588711,0.479067097,0.487637199,0.499482965
0.89216587,0.896599501,0.897227435,0.896393074,0.370754595,0.389941694,0.393100221,0.392327471
